model_id,n_reactions,n_non_exchange,n_with_seed_anno,n_in_msdb,n_covered_by_source,frac_covered,n_uncovered_by_source
GCF_003261575.2,187,187,187,173,136,0.7272727272727273,51
GCF_009688965.1,148,148,148,126,100,0.6756756756756757,48
GCF_000522545.2,179,179,179,161,130,0.7262569832402235,49
GCF_000007845.1,161,161,161,145,117,0.7267080745341615,44
GCF_003441595.1,153,153,153,135,110,0.7189542483660131,43
GCF_000021805.1,116,116,116,101,88,0.7586206896551724,28
GCF_000008525.1,87,87,87,69,50,0.5747126436781609,37
GCF_000011305.1,132,132,132,116,94,0.7121212121212122,38
GCF_000015745.1,154,154,154,138,110,0.7142857142857143,44
GCF_000016745.1,122,122,122,104,77,0.6311475409836066,45
GCF_000025265.1,141,141,141,125,104,0.7375886524822695,37
GCF_000756615.1,149,149,149,133,108,0.7248322147651006,41
GCF_000283635.1,74,74,74,58,54,0.7297297297297297,20
GCF_000632475.1,181,181,181,165,128,0.7071823204419889,53
GCF_000014405.1,73,73,73,57,52,0.7123287671232876,21
GCF_000599545.1,167,167,167,150,123,0.7365269461077845,44
GCF_000014425.1,79,79,79,62,55,0.6962025316455697,24
GCF_000021045.1,167,167,167,150,117,0.7005988023952096,50
GCF_000195855.1,114,114,114,97,86,0.7543859649122807,28
GCF_000008165.1,162,162,162,147,117,0.7222222222222222,45
GCF_000007465.2,81,81,81,65,61,0.7530864197530864,20
GCF_000233715.2,126,126,126,106,86,0.6825396825396826,40
GCF_009688985.1,126,126,126,105,85,0.6746031746031746,41
GCF_000270285.1,100,100,100,85,66,0.66,34
GCF_008805035.1,86,86,86,68,55,0.6395348837209303,31
GCF_002022605.1,87,87,87,69,60,0.6896551724137931,27
GCF_012222825.1,108,108,108,91,73,0.6759259259259259,35
GCF_000284095.1,115,115,115,96,78,0.6782608695652174,37
GCF_000024945.1,102,102,102,84,65,0.6372549019607843,37
GCF_002021985.1,102,102,102,85,63,0.6176470588235294,39
GCF_001688905.2,100,100,100,84,60,0.6,40
GCF_900186975.1,102,102,102,84,67,0.6568627450980392,35
GCF_000020525.1,102,102,102,86,68,0.6666666666666666,34
