model_id,n_samples,mean_flux,q05,q50,q95,p_grows,point_estimate_flux,point_in_ci95
GCF_000006725.1,50,53.264219,0.000000,66.580274,66.580274,0.8000,66.580274,1
GCF_000007465.2,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000007845.1,50,116.768284,116.655686,116.655686,116.655686,1.0000,116.655686,1
GCF_000008165.1,50,120.982946,120.860683,120.860683,120.860683,1.0000,120.860683,1
GCF_000008525.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000009905.1,50,103.123087,102.946700,102.946700,102.946700,1.0000,102.946700,1
GCF_000009985.1,50,18.681172,0.000000,0.000000,93.405858,0.2000,0.000000,1
GCF_000011305.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000014005.1,50,95.136881,88.481056,97.162869,97.162869,1.0000,97.162869,1
GCF_000014285.1,50,85.190818,0.000000,105.764665,111.816308,0.8000,105.764665,1
GCF_000014405.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000014425.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000014965.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000015745.1,50,93.591542,93.405858,93.405858,93.405858,1.0000,93.405858,1
GCF_000016745.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000018865.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000020525.1,50,15.242831,0.000000,0.000000,76.190053,0.2000,0.000000,1
GCF_000020545.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000021045.1,50,129.456681,129.625357,129.625357,129.625357,1.0000,129.625357,1
GCF_000021805.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000022565.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000023745.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
GCF_000024945.1,50,72.199002,72.010460,72.010460,72.010460,1.0000,72.010460,1
GCF_000025185.1,50,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,1
